Extended Data Table 1. Complete structure list for all 3D volumes in CCFv3. Note that some volumes were generated by merging smaller volumes into parent structures higher up the ontology tree.,,,,,,,,,,
order,structure ID,full structure name,abbreviation,parent_id,depth in tree,structure_id_path,total_voxel_counts (10 um),Structure independently delineated (not merged to form parents),Major Division,"""Summary Structure"" Level for Analyses"
0,997,root,root,,0,/997/,506032520,,,
1,8,Basic cell groups and regions,grey,997,1,/997/8/,449594328,,,
2,567,Cerebrum,CH,8,2,/997/8/567/,275860156,,,
3,688,Cerebral cortex,CTX,567,3,/997/8/567/688/,221533548,,,
4,695,Cortical plate,CTXpl,688,4,/997/8/567/688/695/,212625646,,,
5,315,Isocortex,Isocortex,695,5,/997/8/567/688/695/315/,123282624,,Y,
6,184,"Frontal pole, cerebral cortex",FRP,315,6,/997/8/567/688/695/315/184/,973876,,,Y
7,68,"Frontal pole, layer 1",FRP1,184,7,/997/8/567/688/695/315/184/68/,256520,Y,,
8,667,"Frontal pole, layer 2/3",FRP2/3,184,7,/997/8/567/688/695/315/184/667/,232608,Y,,
9,526157192,"Frontal pole, layer 5",FRP5,184,7,/997/8/567/688/695/315/184/526157192/,371584,Y,,
10,526157196,"Frontal pole, layer 6a",FRP6a,184,7,/997/8/567/688/695/315/184/526157196/,112222,Y,,
11,526322264,"Frontal pole, layer 6b",FRP6b,184,7,/997/8/567/688/695/315/184/526322264/,942,Y,,
12,500,Somatomotor areas,MO,315,6,/997/8/567/688/695/315/500/,24450362,,,
18,985,Primary motor area,MOp,500,7,/997/8/567/688/695/315/500/985/,11351334,,,Y
19,320,"Primary motor area, Layer 1",MOp1,985,8,/997/8/567/688/695/315/500/985/320/,1328982,Y,,
20,943,"Primary motor area, Layer 2/3",MOp2/3,985,8,/997/8/567/688/695/315/500/985/943/,3689292,Y,,
21,648,"Primary motor area, Layer 5",MOp5,985,8,/997/8/567/688/695/315/500/985/648/,3272844,Y,,
22,844,"Primary motor area, Layer 6a",MOp6a,985,8,/997/8/567/688/695/315/500/985/844/,2876428,Y,,
23,882,"Primary motor area, Layer 6b",MOp6b,985,8,/997/8/567/688/695/315/500/985/882/,183788,Y,,
